zipcode,state,description,viewport
7465,NJ,Wanaque,41.0729321:41.0236078:-74.2505949:-74.351283
7470,NJ,Wayne,41.014063:40.8828509:-74.193401:-74.2904149
7474,NJ,Wayne,40.9267170802915:40.9240191197085:-74.2752950197085:-74.2779929802915
7480,NJ,West Milford,41.1591589:41.0112698:-74.3242788:-74.482712
7481,NJ,Wyckoff,41.02585:40.971137:-74.137536:-74.1918351
7495,NJ,Mahwah,41.1052789:41.1023968:-74.1620399:-74.1668219
7501,NJ,Paterson,40.926261:40.901198:-74.1530838:-74.1956891
7502,NJ,Paterson,40.930375:40.907072:-74.1813069:-74.2061969
7503,NJ,Paterson,40.9082889:40.888045:-74.135618:-74.176188
7504,NJ,Paterson,40.9184039:40.9019489:-74.130718:-74.154318
7505,NJ,Paterson,40.923303:40.9101969:-74.1671531:-74.1819889
7506,NJ,Hawthorne,40.9838651:40.9343298:-74.141048:-74.1715881
7507,NJ,Hawthorne,40.9503412802915:40.9476433197085:-74.1521958197085:-74.1548937802915
7508,NJ,Haledon,40.980156:40.92333:-74.1671269:-74.211732
7509,NJ,Paterson,40.9113488802915:40.9086509197085:-74.1686510197085:-74.1713489802915
7510,NJ,Paterson,40.9160978802915:40.9133999197085:-74.1672515197085:-74.1699494802915
7511,NJ,Totowa,40.9113488802915:40.9086509197085:-74.2086509197085:-74.2113488802915
7512,NJ,Totowa,40.924748:40.882569:-74.1960939:-74.251887
7513,NJ,Paterson,40.9147431:40.8922751:-74.129695:-74.1584378
7514,NJ,Paterson,40.942153:40.916182:-74.1289501:-74.155376
7522,NJ,Paterson,40.933461:40.91173:-74.1651311:-74.193295
7524,NJ,Paterson,40.94159:40.9219328:-74.1459649:-74.168014
7533,NJ,Paterson,40.8966700802915:40.8939721197085:-74.1588106197085:-74.1615085802915
7538,NJ,Haledon,40.9413489802915:40.9386510197085:-74.1886510197085:-74.1913489802915
7543,NJ,Paterson,40.9113488802915:40.9086509197085:-74.1486510197085:-74.1513489802915
7544,NJ,Paterson,40.9158217802915:40.9131238197085:-74.1654378197085:-74.1681357802915
7601,NJ,Hackensack,40.9132849:40.8586979:-74.024737:-74.068385
7602,NJ,Hackensack,40.8912774802915:40.8885795197085:-74.0386210197085:-74.0413189802915
7603,NJ,Bogota,40.8846369:40.865573:-74.020786:-74.0403369
7604,NJ,Hasbrouck Heights,40.8759991:40.847395:-74.0587989:-74.0893798
7605,NJ,Leonia,40.8757041:40.8502491:-73.9754091:-74.007688
7606,NJ,South Hackensack,40.873872:40.8537941:-74.039638:-74.0578301
7607,NJ,Maywood,40.917153:40.8868099:-74.0505599:-74.073247
7608,NJ,Teterboro,40.8708411:40.837185:-74.048784:-74.077439
7620,NJ,Alpine,40.9561909:40.9195901:-73.91834:-73.941681
7621,NJ,Bergenfield,40.9403378:40.908392:-73.979705:-74.017461
7624,NJ,Closter,41.0058969:40.913604:-73.8939789:-73.9991779
7626,NJ,Cresskill,40.9546121:40.9257829:-73.9360653:-73.979871
7627,NJ,Demarest,40.967934:40.940454:-73.9286281:-73.9757811
7628,NJ,Dumont,40.9580039:40.9348959:-73.9755809:-74.0107819
7630,NJ,Emerson,40.9869621:40.9538771:-73.9934908:-74.056979
7631,NJ,Englewood,40.9136169:40.8655679:-73.949229:-73.995029
7632,NJ,Englewood Cliffs,40.9057021:40.858471:-73.927119:-73.967697
7640,NJ,Harrington Park,41.006789:40.9768119:-73.9638159:-73.997732
7641,NJ,Haworth,40.9726349:40.954282:-73.974041:-74.0227828
7642,NJ,Hillsdale,41.021169:40.994009:-74.0192358:-74.0773069
7643,NJ,Little Ferry,40.85919:40.823186:-74.018961:-74.0539809
7644,NJ,Lodi,40.8950929:40.8614418:-74.0640249:-74.0986399
7645,NJ,Montvale,41.0728831:41.0366:-74.0124521:-74.0793689
7646,NJ,New Milford,40.952098:40.9139201:-74.002567:-74.0334309
7647,NJ,Northvale,41.022542:40.9936:-73.9220799:-73.9652528
7648,NJ,Norwood,41.0116719:40.9763491:-73.9259911:-73.970648
7649,NJ,Oradell,40.9715968:40.940142:-74.0025829:-74.051315
7650,NJ,Palisades Park,40.8569699:40.8360369:-73.980459:-74.0107489
7652,NJ,Paramus,40.980635:40.9081781:-74.0388439:-74.101362
7653,NJ,Paramus,40.9497613802915:40.9470634197085:-74.0672745197085:-74.0699724802915
7656,NJ,Park Ridge,41.049278:41.019661:-74.018765:-74.069675
7657,NJ,Ridgefield,40.8462028:40.814799:-73.9887609:-74.0282069
7660,NJ,Ridgefield Park,40.8680431:40.8308071:-74.004683:-74.035641
7661,NJ,River Edge,40.943689:40.908893:-74.0256939:-74.0506411
7662,NJ,Rochelle Park,40.9202371:40.890394:-74.068909:-74.090897
7663,NJ,Saddle Brook,40.9210981:40.8842348:-74.0788631:-74.1133739
7666,NJ,Teaneck,40.917079:40.860683:-73.9873898:-74.0373879
7670,NJ,Tenafly,40.9378261:40.895496:-73.919898:-73.99112
7675,NJ,Westwood,41.046396:40.973332:-73.9590471:-74.0552859
7676,NJ,Township Of Washington,41.0044751:40.9670909:-74.0462491:-74.080117
7677,NJ,Woodcliff Lake,41.049413:41.010297:-74.025496:-74.0848609
7699,NJ,Teterboro,40.855637:40.8510869:-74.0663079:-74.070273
7701,NJ,Red Bank,40.3954109:40.3180849:-74.0302219:-74.113394
7702,NJ,Shrewsbury,40.338267:40.309911:-74.0406529:-74.074905
7703,NJ,Fort Monmouth,40.322437:40.3057151:-74.028993:-74.059308
7704,NJ,Fair Haven,40.372673:40.3479819:-74.0189861:-74.0592091
7709,NJ,Red Bank,40.2413489802915:40.2386510197085:-73.9986510197085:-74.0013489802915
7710,NJ,Adelphia,40.2189988802915:40.2163009197085:-74.2547673197085:-74.2574652802915
7711,NJ,Allenhurst,40.2496129:40.2300669:-73.9928809:-74.022762
7712,NJ,Asbury Park,40.28123:40.210698:-73.9946809:-74.110838
7715,NJ,Belmar,40.1813489802915:40.1786510197085:-74.0186510197085:-74.0213489802915
7716,NJ,Atlantic Highlands,40.422202:40.3856928:-74.0004829:-74.0815471
7717,NJ,Avon By The Sea,40.19943:40.1857159:-74.0049811:-74.024877
7718,NJ,Belford,40.435668:40.3970489:-74.0680001:-74.10122
7719,NJ,Belmar,40.200357:40.1331069:-74.006481:-74.1551651
7720,NJ,Bradley Beach,40.208996:40.1951099:-74.003181:-74.0224769
7721,NJ,Cliffwood,40.4450578:40.4283319:-74.218088:-74.2472069
7722,NJ,Colts Neck,40.3457181:40.2320549:-74.100673:-74.2252951
7723,NJ,Deal,40.26345:40.2372659:-73.9866809:-74.019866
7724,NJ,Eatontown,40.337219:40.25607:-74.0235169:-74.14024
7726,NJ,Englishtown,40.353398:40.2088989:-74.2817489:-74.408085
7727,NJ,Farmingdale,40.2806438:40.1342939:-74.071589:-74.239031
7728,NJ,Freehold,40.2954789:40.1685071:-74.181796:-74.406777
7730,NJ,Hazlet,40.4425529:40.405025:-74.136166:-74.2138319
7731,NJ,Howell,40.219443:40.098812:-74.1128131:-74.2701221
7732,NJ,Highlands,40.476472:40.3832839:-73.9725891:-74.018302
7733,NJ,Holmdel,40.426786:40.3251689:-74.125968:-74.2090531
7734,NJ,Keansburg,40.459807:40.4265979:-74.1168859:-74.15556
7735,NJ,Keyport,40.4587001:40.422427:-74.1469569:-74.2465969
7737,NJ,Leonardo,40.4282649:40.3946028:-74.0472658:-74.0743841
7738,NJ,Lincroft,40.3656889:40.315771:-74.0981599:-74.152337
7739,NJ,Little Silver,40.3522419:40.3204939:-74.0089578:-74.0636909
7740,NJ,Long Branch,40.329783:40.260211:-73.9716611:-74.0139629
7746,NJ,Marlboro,40.357076:40.2769318:-74.197556:-74.296999
7747,NJ,Matawan,40.4510469:40.3817611:-74.2077699:-74.303772
7748,NJ,Middletown,40.4461069:40.3459091:-74.062597:-74.14738
7750,NJ,Monmouth Beach,40.345839:40.322409:-73.9709809:-74.003734
7751,NJ,Morganville,40.407247:40.322167:-74.197578:-74.327404
7752,NJ,Navesink,40.4086439802915:40.4059460197085:-74.0351891197085:-74.0378870802915
7753,NJ,Neptune,40.2624369:40.1792108:-74.0152559:-74.143
7754,NJ,Neptune,40.2119959802915:40.2092980197085:-74.0343137197085:-74.0370116802915
7755,NJ,Oakhurst,40.2753888:40.2518299:-73.9997109:-74.0433849
7756,NJ,Ocean Grove,40.217172:40.2066039:-73.9984811:-74.0160229
7757,NJ,Oceanport,40.3368588:40.298748:-73.9943789:-74.0412379
7758,NJ,Port Monmouth,40.443207:40.416952:-74.0796369:-74.1248518
7760,NJ,Rumson,40.404252:40.3365541:-73.9709809:-74.0388031
7762,NJ,Spring Lake,40.1690251:40.137514:-74.0150809:-74.0589769
7763,NJ,Tennent,40.2826622802915:40.2799643197085:-74.3291830197085:-74.3318809802915
7764,NJ,West Long Branch,40.3048549:40.2721698:-74.001402:-74.03845
7765,NJ,Wickatunk,40.3515152802915:40.3488173197085:-74.2466169197085:-74.2493148802915
7799,NJ,Eatontown,40.275966:40.271943:-74.0433849:-74.0670471
7801,NJ,Dover,40.9767169:40.871553:-74.5086819:-74.584118
7802,NJ,Dover,40.8866287802915:40.8839308197085:-74.5571953197085:-74.5598932802915
7803,NJ,Mine Hill,40.898137:40.8619629:-74.5761639:-74.6248618
7806,NJ,Picatinny Arsenal,40.8913489802915:40.8886510197085:-74.5786510197085:-74.5813489802915
